file,true,predicted,correct,verdict,confidence,source,physics_verdict,physics_checks_failed,ml_score,ml_verdict
24546.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5065,FAKE
1638.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6461,FAKE
29231.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6614,FAKE
20354.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.6153,FAKE
13660.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3951,REAL
27337.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6264,FAKE
2475.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2912,REAL
3976.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4529,REAL
25790.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6449,FAKE
31032.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4495,REAL
5181.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.4637,REAL
9497.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.5214,FAKE
24956.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5386,FAKE
23570.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.2934,REAL
6066.wav,spoof,real,0,REAL,real,ml_only,REAL,0,0.6901,FAKE
27969.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.4127,REAL
651.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.2890,REAL
17240.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,2,0.5887,FAKE
28280.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5057,FAKE
15159.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4017,REAL
6078.wav,spoof,real,0,REAL,real,phys_only,FAKE,3,0.2847,REAL
7232.wav,bona-fide,real,1,REAL,real,both_real,REAL,1,0.3458,REAL
4337.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.2534,REAL
4392.wav,bona-fide,real,1,REAL,real,phys_only,FAKE,2,0.3000,REAL
27256.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6571,FAKE
464.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4559,REAL
7448.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.5461,FAKE
21786.wav,bona-fide,real,1,REAL,real,both_real,REAL,0,0.4838,REAL
495.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4239,REAL
1882.wav,spoof,fake,1,FAKE,high,and_fake,FAKE,4,0.6814,FAKE
13007.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5974,FAKE
7341.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.5835,FAKE
30910.wav,spoof,real,0,REAL,real,both_real,REAL,1,0.4735,REAL
6707.wav,bona-fide,real,1,REAL,real,ml_only,REAL,0,0.6206,FAKE
9531.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.3158,REAL
22183.wav,bona-fide,real,1,REAL,real,ml_only,REAL,1,0.5213,FAKE
11690.wav,spoof,real,0,REAL,real,ml_only,REAL,1,0.6537,FAKE
23167.wav,spoof,real,0,REAL,real,phys_only,FAKE,2,0.4182,REAL
