dataset,filename,label,label_name,subgroup,contamination,orig_filename,decode_path,score_v1_2_4,score_v1_2_5,score_v1_2_6,score_xgb_v1_2_6
deepfake-audio,real/real_051.flac,0,real,YouTube (real),,yt_0012_part_160.flac,native,0.562857,0.941177,0.940017,0.999885
deepfake-audio,real/real_052.flac,0,real,YouTube (real),,yt_0009_part_187.flac,native,0.410349,0.943441,0.970512,0.999987
deepfake-audio,real/real_053.flac,0,real,YouTube (real),,yt_0013_part_001.flac,native,0.27219,0.874787,0.983441,0.99999
deepfake-audio,real/real_054.flac,0,real,YouTube (real),,yt_0009_part_239.flac,native,0.682619,0.978105,0.988687,0.999979
deepfake-audio,real/real_055.flac,0,real,YouTube (real),,yt_0009_part_047.flac,native,0.715872,0.956638,0.962946,0.999441
deepfake-audio,real/real_056.flac,0,real,YouTube (real),,yt_0006_p2_part_011.flac,native,0.860432,0.942439,0.970882,0.984795
deepfake-audio,real/real_057.flac,0,real,YouTube (real),,yt_0008_part_140.flac,native,0.720106,0.904828,0.936502,0.999739
deepfake-audio,real/real_058.flac,0,real,YouTube (real),,yt_0008_part_053.flac,native,0.698524,0.899523,0.851512,0.9968
deepfake-audio,real/real_059.flac,0,real,YouTube (real),,yt_0010_part_023.flac,native,0.54971,0.93334,0.857913,0.999867
deepfake-audio,real/real_060.flac,0,real,YouTube (real),,yt_0010_part_022.flac,native,0.323838,0.946499,0.986969,0.999971
deepfake-audio,real/real_061.flac,0,real,YouTube (real),,yt_0000_part_126.flac,native,0.746742,0.561562,0.543079,0.980476
deepfake-audio,real/real_062.flac,0,real,YouTube (real),,yt_0012_part_163.flac,native,0.656679,0.888002,0.923658,0.997253
deepfake-audio,real/real_063.flac,0,real,YouTube (real),,yt_0013_part_006.flac,native,0.317978,0.805648,0.928514,0.999861
deepfake-audio,real/real_064.flac,0,real,YouTube (real),,yt_0013_part_016.flac,native,0.25506,0.95142,0.995883,0.999992
deepfake-audio,real/real_065.flac,0,real,YouTube (real),,yt_0009_part_230.flac,native,0.518135,0.876753,0.815056,0.999956
deepfake-audio,real/real_066.flac,0,real,YouTube (real),,yt_0004_part_044.flac,native,0.591628,0.788268,0.865415,0.999872
deepfake-audio,real/real_067.flac,0,real,YouTube (real),,yt_0000_part_037.flac,native,0.406976,0.942404,0.972203,0.999982
deepfake-audio,real/real_068.flac,0,real,YouTube (real),,yt_0011_part_012.flac,native,0.245266,0.92093,0.995817,0.999997
deepfake-audio,real/real_069.flac,0,real,YouTube (real),,yt_0011_part_151.flac,native,0.366448,0.815475,0.870993,0.999987
deepfake-audio,real/real_070.flac,0,real,YouTube (real),,yt_0012_part_149.flac,native,0.312385,0.839889,0.927018,0.999126
deepfake-audio,real/real_071.flac,0,real,YouTube (real),,yt_0013_part_014.flac,native,0.261604,0.884533,0.976683,0.999976
deepfake-audio,real/real_072.flac,0,real,YouTube (real),,yt_0012_part_029.flac,native,0.125423,0.89834,0.996956,0.999999
deepfake-audio,real/real_073.flac,0,real,YouTube (real),,yt_0009_part_270.flac,native,0.59696,0.952998,0.977057,0.999989
deepfake-audio,real/real_074.flac,0,real,YouTube (real),,yt_0011_part_147.flac,native,0.381751,0.920618,0.952731,0.999892
deepfake-audio,real/real_075.flac,0,real,YouTube (real),,yt_0006_part_004.flac,native,0.612617,0.935536,0.96476,0.999772
deepfake-audio,real/real_076.flac,0,real,YouTube (real),,yt_0008_part_225.flac,native,0.793602,0.621149,0.774362,0.99717
deepfake-audio,real/real_077.flac,0,real,YouTube (real),,yt_0009_part_073.flac,native,0.722543,0.964708,0.999588,0.999957
deepfake-audio,real/real_078.flac,0,real,YouTube (real),,yt_0009_part_209.flac,native,0.618265,0.955904,0.962473,0.999946
deepfake-audio,real/real_079.flac,0,real,YouTube (real),,yt_0011_part_052.flac,native,0.61821,0.962352,0.997172,0.999976
deepfake-audio,real/real_080.flac,0,real,YouTube (real),,yt_0000_part_031.flac,native,0.840381,0.91204,0.973984,0.997665
deepfake-audio,real/real_081.flac,0,real,YouTube (real),,yt_0009_part_257.flac,native,0.389776,0.963075,0.996128,0.999941
deepfake-audio,real/real_082.flac,0,real,YouTube (real),,yt_0000_part_001.flac,native,0.491377,0.902713,0.840166,0.999992
deepfake-audio,real/real_083.flac,0,real,YouTube (real),,yt_0009_part_016.flac,native,0.567105,0.974047,0.984453,0.999992
deepfake-audio,real/real_084.flac,0,real,YouTube (real),,yt_0006_p2_part_007.flac,native,0.458579,0.871129,0.931818,0.999992
deepfake-audio,real/real_085.flac,0,real,YouTube (real),,yt_0009_part_222.flac,native,0.622688,0.970113,0.977894,0.999975
deepfake-audio,real/real_086.flac,0,real,YouTube (real),,yt_0009_part_050.flac,native,0.626241,0.881044,0.984958,0.999933
deepfake-audio,real/real_087.flac,0,real,YouTube (real),,yt_0009_part_004.flac,native,0.607367,0.953065,0.986033,0.999524
deepfake-audio,real/real_088.flac,0,real,YouTube (real),,yt_0000_part_046.flac,native,0.464883,0.900261,0.910983,0.999988
deepfake-audio,real/real_089.flac,0,real,YouTube (real),,yt_0008_part_217.flac,native,0.724185,0.975432,0.985565,0.999758
deepfake-audio,real/real_090.flac,0,real,YouTube (real),,yt_0008_part_227.flac,native,0.60089,0.884827,0.956543,0.999261
deepfake-audio,real/real_091.flac,0,real,YouTube (real),,yt_0003_part_017.flac,native,0.268342,0.881114,0.975966,0.999935
deepfake-audio,real/real_092.flac,0,real,YouTube (real),,yt_0008_part_238.flac,native,0.801603,0.703975,0.819659,0.970862
deepfake-audio,real/real_093.flac,0,real,YouTube (real),,yt_0008_p2_part_259.flac,native,0.673586,0.86368,0.927292,0.999607
deepfake-audio,real/real_094.flac,0,real,YouTube (real),,yt_0010_part_021.flac,native,0.502926,0.9803,0.998506,0.999992
deepfake-audio,real/real_095.flac,0,real,YouTube (real),,yt_0009_part_134.flac,native,0.577747,0.934049,0.934681,0.999476
deepfake-audio,real/real_096.flac,0,real,YouTube (real),,yt_0011_part_140.flac,native,0.570577,0.74128,0.574832,0.987285
deepfake-audio,real/real_097.flac,0,real,YouTube (real),,yt_0013_part_029.flac,native,0.595604,0.968761,0.983676,0.99983
deepfake-audio,real/real_098.flac,0,real,YouTube (real),,yt_0000_part_127.flac,native,0.305403,0.772755,0.749049,0.999909
deepfake-audio,real/real_099.flac,0,real,YouTube (real),,yt_0004_part_037.flac,native,0.415212,0.917844,0.945332,0.999949
deepfake-audio,fake/fake_000.flac,1,fake,Speechify,,sp_0001_part_016.flac,native,0.177109,0.865683,0.994699,0.999996
deepfake-audio,fake/fake_001.flac,1,fake,Hume AI,,hu_0001_c_part_012.flac,native,0.177221,0.899861,0.993745,0.999999
deepfake-audio,fake/fake_002.flac,1,fake,Amazon Polly,,po_0007_c_part_016.flac,native,0.128581,0.841142,0.993545,0.999995
deepfake-audio,fake/fake_003.flac,1,fake,Speechify,,sp_0009_part_001.flac,native,0.269494,0.929248,0.99107,0.999995
deepfake-audio,fake/fake_004.flac,1,fake,Luvvoice,,lv_0001_c_part_018.flac,native,0.131713,0.900766,0.985616,0.999992
deepfake-audio,fake/fake_005.flac,1,fake,Speechify,,sp_0007_part_009.flac,native,0.115543,0.422066,0.848806,0.999968
deepfake-audio,fake/fake_006.flac,1,fake,ElevenLabs,,el_0001_c_part_002.flac,native,0.298759,0.942671,0.988538,0.999994
deepfake-audio,fake/fake_007.flac,1,fake,Speechify,,sp_0006_part_007.flac,native,0.17,0.720297,0.935049,0.999996
deepfake-audio,fake/fake_008.flac,1,fake,Hexgrad Kokoro,,hg_0007_part_002.flac,native,0.296482,0.865868,0.982696,0.999988
deepfake-audio,fake/fake_009.flac,1,fake,Luvvoice,,lv_0003_c_part_020.flac,native,0.226005,0.912624,0.991758,0.999996
deepfake-audio,fake/fake_010.flac,1,fake,Amazon Polly,,po_0007_part_005.flac,native,0.087127,0.812303,0.997818,1.0
deepfake-audio,fake/fake_011.flac,1,fake,ElevenLabs,,el_0011_c_part_017.flac,native,0.189558,0.908614,0.995338,0.999999
deepfake-audio,fake/fake_012.flac,1,fake,Speechify,,sp_0007_part_003.flac,native,0.118404,0.856741,0.998287,0.999999
deepfake-audio,fake/fake_013.flac,1,fake,Luvvoice,,lv_0004_part_007.flac,native,0.335416,0.895622,0.990828,0.999989
deepfake-audio,fake/fake_014.flac,1,fake,Speechify,,sp_0008_c_part_010.flac,native,0.151049,0.890757,0.996949,1.0
deepfake-audio,fake/fake_015.flac,1,fake,Hume AI,,hu_0002_part_006.flac,native,0.240614,0.894725,0.973488,0.999998
deepfake-audio,fake/fake_016.flac,1,fake,Speechify,,sp_0001_c_part_022.flac,native,0.184819,0.928694,0.991293,0.999939
deepfake-audio,fake/fake_017.flac,1,fake,ElevenLabs,,el_0012_c_part_010.flac,native,0.317504,0.906461,0.926,0.986568
deepfake-audio,fake/fake_018.flac,1,fake,Speechify,,sp_0002_part_005.flac,native,0.433346,0.967571,0.995384,0.999969
deepfake-audio,fake/fake_019.flac,1,fake,Hexgrad Kokoro,,hg_0008_part_001.flac,native,0.166755,0.496836,0.694962,0.999527
deepfake-audio,fake/fake_020.flac,1,fake,Speechify,,sp_0003_part_007.flac,native,0.257646,0.801755,0.91337,0.999997
deepfake-audio,fake/fake_021.flac,1,fake,Amazon Polly,,po_0007_part_006.flac,native,0.112941,0.767677,0.926111,0.99992
deepfake-audio,fake/fake_022.flac,1,fake,Speechify,,sp_0004_part_013.flac,native,0.132602,0.879825,0.993276,0.999999
deepfake-audio,fake/fake_023.flac,1,fake,Speechify,,sp_0006_c_part_021.flac,native,0.142426,0.898444,0.986488,0.999995
deepfake-audio,fake/fake_024.flac,1,fake,Hume AI,,hu_0008_part_002.flac,native,0.11854,0.854757,0.970325,0.999975
deepfake-audio,fake/fake_025.flac,1,fake,Hexgrad Kokoro,,hg_0013_c_part_006.flac,native,0.243015,0.911038,0.959029,0.99998
deepfake-audio,fake/fake_026.flac,1,fake,Speechify,,sp_0005_c_part_008.flac,native,0.159098,0.843615,0.993539,0.999958
deepfake-audio,fake/fake_027.flac,1,fake,Speechify,,sp_0002_c_part_016.flac,native,0.204834,0.881204,0.997518,0.999993
deepfake-audio,fake/fake_028.flac,1,fake,Hume AI,,hu_0003_part_001.flac,native,0.232736,0.91329,0.980874,0.999974
deepfake-audio,fake/fake_029.flac,1,fake,Luvvoice,,lv_0002_part_001.flac,native,0.141212,0.908083,0.995299,0.999998
deepfake-audio,fake/fake_030.flac,1,fake,Hexgrad Kokoro,,hg_0009_part_002.flac,native,0.090385,0.478366,0.760668,0.999881
deepfake-audio,fake/fake_031.flac,1,fake,Speechify,,sp_0007_part_001.flac,native,0.138425,0.651609,0.925955,0.999999
deepfake-audio,fake/fake_032.flac,1,fake,Speechify,,sp_0006_part_015.flac,native,0.130925,0.806941,0.951859,0.999997
deepfake-audio,fake/fake_033.flac,1,fake,Hume AI,,hu_0004_part_010.flac,native,0.168401,0.933639,0.995883,0.999999
deepfake-audio,fake/fake_034.flac,1,fake,ElevenLabs,,el_0013_c_part_014.flac,native,0.566343,0.964285,0.995757,0.999979
deepfake-audio,fake/fake_035.flac,1,fake,Speechify,,sp_0005_c_part_026.flac,native,0.298162,0.962137,0.996568,0.999989
deepfake-audio,fake/fake_036.flac,1,fake,Luvvoice,,lv_0001_part_003.flac,native,0.130552,0.895712,0.99448,0.999994
deepfake-audio,fake/fake_037.flac,1,fake,ElevenLabs,,el_0008_c_part_006.flac,native,0.16866,0.918945,0.979396,0.999986
deepfake-audio,fake/fake_038.flac,1,fake,Amazon Polly,,po_0026_c_part_008.flac,native,0.213179,0.936254,0.996533,0.99999
deepfake-audio,fake/fake_039.flac,1,fake,Hume AI,,hu_0002_part_009.flac,native,0.164293,0.898435,0.984927,0.999991
deepfake-audio,fake/fake_040.flac,1,fake,Speechify,,sp_0003_part_010.flac,native,0.139284,0.859686,0.986286,0.999996
deepfake-audio,fake/fake_041.flac,1,fake,Speechify,,sp_0003_part_004.flac,native,0.223965,0.932609,0.99338,0.999997
deepfake-audio,fake/fake_042.flac,1,fake,ElevenLabs,,el_0010_c_part_016.flac,native,0.265579,0.904041,0.989871,0.999972
deepfake-audio,fake/fake_043.flac,1,fake,Speechify,,sp_0004_part_005.flac,native,0.391575,0.974689,0.997483,0.999821
deepfake-audio,fake/fake_044.flac,1,fake,Hume AI,,hu_0001_part_003.flac,native,0.201386,0.350446,0.520574,0.306326
deepfake-audio,fake/fake_045.flac,1,fake,Speechify,,sp_0007_part_003.flac,native,0.118404,0.856741,0.998287,0.999999
deepfake-audio,fake/fake_046.flac,1,fake,Hexgrad Kokoro,,hg_0010_part_003.flac,native,0.260781,0.706164,0.929788,0.999874
deepfake-audio,fake/fake_047.flac,1,fake,Speechify,,sp_0003_part_001.flac,native,0.251015,0.835327,0.903726,0.999991
deepfake-audio,fake/fake_048.flac,1,fake,Hexgrad Kokoro,,hg_0013_part_002.flac,native,0.339227,0.920953,0.989553,0.999889
deepfake-audio,fake/fake_049.flac,1,fake,Amazon Polly,,po_0004_part_004.flac,native,0.229983,0.878916,0.872481,0.999816
deepfake-audio,fake/fake_050.flac,1,fake,ElevenLabs,,el_0015_c_part_025.flac,native,0.387488,0.921635,0.956991,0.999984
deepfake-audio,fake/fake_051.flac,1,fake,Hume AI,,hu_0001_part_009.flac,native,0.390293,0.930933,0.984217,1.0
deepfake-audio,fake/fake_052.flac,1,fake,Speechify,,sp_0006_c_part_024.flac,native,0.453964,0.931634,0.958578,0.999401
deepfake-audio,fake/fake_053.flac,1,fake,Hume AI,,hu_0006_part_001.flac,native,0.21933,0.339619,0.253916,0.922534
deepfake-audio,fake/fake_054.flac,1,fake,Speechify,,sp_0001_part_007.flac,native,0.209666,0.927798,0.992071,0.999997
deepfake-audio,fake/fake_055.flac,1,fake,Speechify,,sp_0007_part_001.flac,native,0.138425,0.651609,0.925955,0.999999
deepfake-audio,fake/fake_056.flac,1,fake,Luvvoice,,lv_0002_c_part_011.flac,native,0.178421,0.903905,0.994926,0.999996
deepfake-audio,fake/fake_057.flac,1,fake,Speechify,,sp_0008_part_006.flac,native,0.124197,0.900413,0.998029,0.999999
deepfake-audio,fake/fake_058.flac,1,fake,Hexgrad Kokoro,,hg_0007_part_003.flac,native,0.163753,0.40707,0.65997,0.998155
deepfake-audio,fake/fake_059.flac,1,fake,Luvvoice,,lv_0005_c_part_017.flac,native,0.183031,0.9284,0.985846,0.999996
deepfake-audio,fake/fake_060.flac,1,fake,ElevenLabs,,el_0011_c_part_012.flac,native,0.219867,0.899373,0.984559,0.999973
deepfake-audio,fake/fake_061.flac,1,fake,Amazon Polly,,po_0030_part_001.flac,native,0.242005,0.942975,0.993918,0.999996
deepfake-audio,fake/fake_062.flac,1,fake,Speechify,,sp_0003_c_part_016.flac,native,0.346994,0.966063,0.995706,0.999994
deepfake-audio,fake/fake_063.flac,1,fake,Hume AI,,hu_0001_part_004.flac,native,0.12169,0.866419,0.986252,0.999997
deepfake-audio,fake/fake_064.flac,1,fake,Speechify,,sp_0001_part_002.flac,native,0.127429,0.69925,0.871289,0.999645
deepfake-audio,fake/fake_065.flac,1,fake,Luvvoice,,lv_0002_part_002.flac,native,0.361275,0.952344,0.993112,0.999997
deepfake-audio,fake/fake_066.flac,1,fake,Speechify,,sp_0008_part_005.flac,native,0.126883,0.744479,0.991226,0.999991
deepfake-audio,fake/fake_067.flac,1,fake,Amazon Polly,,po_0008_c_part_013.flac,native,0.125197,0.803517,0.994897,0.999934
deepfake-audio,fake/fake_068.flac,1,fake,ElevenLabs,,el_0004_c_part_003.flac,native,0.421829,0.915502,0.99217,0.999815
deepfake-audio,fake/fake_069.flac,1,fake,Amazon Polly,,po_0034_c_part_017.flac,native,0.107026,0.843045,0.991805,0.999997
deepfake-audio,fake/fake_070.flac,1,fake,Luvvoice,,lv_0003_c_part_015.flac,native,0.296534,0.93954,0.9941,0.999998
deepfake-audio,fake/fake_071.flac,1,fake,ElevenLabs,,el_0010_c_part_007.flac,native,0.263746,0.953994,0.993434,0.999998
deepfake-audio,fake/fake_072.flac,1,fake,ElevenLabs,,el_0003_c_part_004.flac,native,0.306289,0.927614,0.992913,0.999997
deepfake-audio,fake/fake_073.flac,1,fake,ElevenLabs,,el_0013_c_part_007.flac,native,0.410519,0.914369,0.956116,0.99993
deepfake-audio,fake/fake_074.flac,1,fake,Hume AI,,hu_0001_part_011.flac,native,0.265498,0.950876,0.99722,0.999998
deepfake-audio,fake/fake_075.flac,1,fake,ElevenLabs,,el_0028_part_001.flac,native,0.23504,0.904899,0.990391,0.998784
deepfake-audio,fake/fake_076.flac,1,fake,Luvvoice,,lv_0006_part_006.flac,native,0.249589,0.852011,0.972865,0.999992
deepfake-audio,fake/fake_077.flac,1,fake,ElevenLabs,,el_0015_c_part_009.flac,native,0.31606,0.873254,0.98962,0.99979
deepfake-audio,fake/fake_078.flac,1,fake,Amazon Polly,,po_0034_c_part_012.flac,native,0.120135,0.898195,0.998794,0.999999
deepfake-audio,fake/fake_079.flac,1,fake,Luvvoice,,lv_0005_part_013.flac,native,0.176873,0.844219,0.987104,0.999999
deepfake-audio,fake/fake_080.flac,1,fake,Speechify,,sp_0003_part_010.flac,native,0.139284,0.859686,0.986286,0.999996
deepfake-audio,fake/fake_081.flac,1,fake,Hume AI,,hu_0007_c_part_008.flac,native,0.116951,0.80154,0.956304,0.999974
deepfake-audio,fake/fake_082.flac,1,fake,Speechify,,sp_0001_part_003.flac,native,0.306501,0.96476,0.995356,0.999989
deepfake-audio,fake/fake_083.flac,1,fake,ElevenLabs,,el_0012_part_001.flac,native,0.156809,0.594513,0.51646,0.9995
deepfake-audio,fake/fake_084.flac,1,fake,Luvvoice,,lv_0001_part_004.flac,native,0.116899,0.208685,0.306725,0.89562
deepfake-audio,fake/fake_085.flac,1,fake,Amazon Polly,,po_0008_part_002.flac,native,0.225457,0.9463,0.996625,0.999998
deepfake-audio,fake/fake_086.flac,1,fake,Luvvoice,,lv_0004_part_005.flac,native,0.117608,0.812747,0.987127,0.999997
deepfake-audio,fake/fake_087.flac,1,fake,Hexgrad Kokoro,,hg_0002_c_part_006.flac,native,0.194688,0.887683,0.986814,0.999992
deepfake-audio,fake/fake_088.flac,1,fake,Amazon Polly,,po_0007_part_008.flac,native,0.191528,0.932399,0.994711,0.999997
deepfake-audio,fake/fake_089.flac,1,fake,ElevenLabs,,el_0013_c_part_012.flac,native,0.450204,0.970185,0.996111,0.999995
deepfake-audio,fake/fake_090.flac,1,fake,Hexgrad Kokoro,,hg_0006_c_part_005.flac,native,0.163109,0.891508,0.978276,0.999988
deepfake-audio,fake/fake_091.flac,1,fake,Speechify,,sp_0001_part_008.flac,native,0.166927,0.6482,0.923993,0.999992
deepfake-audio,fake/fake_092.flac,1,fake,Hume AI,,hu_0004_part_006.flac,native,0.186499,0.893518,0.985248,0.999999
deepfake-audio,fake/fake_093.flac,1,fake,ElevenLabs,,el_0013_part_002.flac,native,0.288731,0.942711,0.997481,0.999998
deepfake-audio,fake/fake_094.flac,1,fake,ElevenLabs,,el_0015_c_part_010.flac,native,0.301238,0.931592,0.991307,0.999992
deepfake-audio,fake/fake_095.flac,1,fake,Speechify,,sp_0005_c_part_028.flac,native,0.268678,0.937416,0.981153,0.999997
deepfake-audio,fake/fake_096.flac,1,fake,ElevenLabs,,el_0015_c_part_024.flac,native,0.257327,0.934717,0.99204,0.999999
deepfake-audio,fake/fake_097.flac,1,fake,Amazon Polly,,po_0033_c_part_011.flac,native,0.315215,0.837442,0.915991,0.999805
deepfake-audio,fake/fake_098.flac,1,fake,ElevenLabs,,el_0015_c_part_020.flac,native,0.282378,0.889292,0.954643,0.999987
deepfake-audio,fake/fake_099.flac,1,fake,Luvvoice,,lv_0004_part_002.flac,native,0.187889,0.932633,0.99655,0.999994
asvspoof5,real/E_0000007662.flac,0,real,bonafide,,,native,0.369674,0.831274,0.898396,0.998689
asvspoof5,real/E_0000024370.flac,0,real,bonafide,,,native,0.165072,0.677966,0.927694,0.999574
asvspoof5,real/E_0000057807.flac,0,real,bonafide,,,native,0.136232,0.220632,0.462375,0.491168
asvspoof5,real/E_0000067756.flac,0,real,bonafide,,,native,0.168611,0.77426,0.973036,0.999999
asvspoof5,real/E_0000077522.flac,0,real,bonafide,,,native,0.272988,0.65434,0.714749,0.999964
asvspoof5,real/E_0000093696.flac,0,real,bonafide,,,native,0.249879,0.624349,0.749954,0.992274
asvspoof5,real/E_0000111870.flac,0,real,bonafide,,,native,0.456252,0.852547,0.922485,0.999989
asvspoof5,real/E_0000113090.flac,0,real,bonafide,,,native,0.083701,0.648173,0.977055,0.99996
asvspoof5,real/E_0000128744.flac,0,real,bonafide,,,native,0.37074,0.402926,0.409774,0.013891
asvspoof5,real/E_0000157655.flac,0,real,bonafide,,,native,0.336643,0.457142,0.433739,0.09267
asvspoof5,real/E_0000174762.flac,0,real,bonafide,,,native,0.603957,0.720955,0.659045,0.035375
asvspoof5,real/E_0000189610.flac,0,real,bonafide,,,native,0.293551,0.33356,0.205222,0.001504
asvspoof5,real/E_0000199195.flac,0,real,bonafide,,,native,0.52725,0.846265,0.90923,0.996607
